Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,G+A,CrdR,PrgC,SoT%,KP,Touches
517,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27.0,1996.0,23,15,1215,0,0,0,0,42,28.6,22,1473
518,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,20.0,2004.0,7,0,60,0,0,0,0,0,29.907323340471095,1,26
519,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27.0,1997.0,31,27,2256,0,2,2,0,28,30.8,19,1627
520,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,28.0,1996.0,7,3,265,0,0,0,0,10,29.907323340471095,3,184
521,Alberto Cerri,it ITA,FW,Como,it Serie A,28.0,1996.0,5,0,87,0,0,0,0,0,25.0,0,36
522,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,es La Liga,30.0,1994.0,7,4,273,0,0,0,0,3,29.907323340471095,5,160
523,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26.0,1998.0,31,27,2269,3,1,4,1,7,15.8,6,2239
524,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19.0,2005.0,21,13,1130,0,0,0,1,4,60.0,5,1058
525,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,21.0,2002.0,26,10,1013,1,3,4,0,20,24.0,24,588
526,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25.0,1999.0,12,12,1060,3,0,3,0,11,36.4,4,594
527,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25.0,1999.0,13,11,910,0,1,1,0,4,28.6,3,774
528,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34.0,1990.0,3,0,24,0,0,0,0,1,29.907323340471095,0,31
529,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27.0,1997.0,22,10,857,1,1,2,0,13,18.8,8,390
530,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29.0,1994.0,27,27,2416,1,0,1,0,7,7.1,8,1521
531,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25.0,1999.0,10,0,271,1,2,3,0,6,44.4,7,111
532,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,20.0,2003.0,2,1,130,0,0,0,0,1,29.907323340471095,1,74
533,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20.0,2004.0,12,7,734,0,0,0,0,6,0.0,0,622
534,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,es La Liga,26.0,1998.0,34,28,2585,0,1,1,0,59,27.3,24,1884
535,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,23.0,2001.0,26,24,2185,1,0,1,0,10,20.0,5,1513
536,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22.0,2002.0,10,7,596,1,0,1,0,14,60.0,9,373
537,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,26.0,1998.0,1,0,12,0,0,0,0,0,29.907323340471095,1,3
538,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,26.0,1998.0,22,5,640,1,1,2,0,8,30.8,6,203
539,Chema,es ESP,MF,Real Madrid,es La Liga,19.0,2005.0,2,0,12,0,0,0,0,0,29.907323340471095,0,3
540,Théo Chennahi,fr FRA,DF,Montpellier,fr Ligue 1,19.0,2005.0,4,2,181,0,0,0,0,1,0.0,1,91
541,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,17.0,2006.0,7,3,324,0,0,0,0,8,40.0,2,107
542,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,20.0,2003.0,30,22,2041,8,11,19,0,106,42.2,75,1573
543,Youssef Chermiti,pt POR,"FW,MF",Everton,eng Premier League,20.0,2004.0,4,0,45,0,0,0,0,0,33.3,0,15
544,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22.0,2001.0,34,34,3060,0,0,0,0,0,29.907323340471095,3,1150
545,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19.0,2005.0,16,3,379,1,0,1,0,1,25.0,1,298
546,Julián Chicco,ar ARG,"MF,DF",Leganés,es La Liga,26.0,1998.0,14,2,302,0,1,1,0,8,33.3,2,196
547,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34.0,1990.0,1,1,90,0,0,0,0,0,29.907323340471095,0,54
548,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26.0,1997.0,6,1,108,0,0,0,0,3,40.0,2,46
549,Ben Chilwell,eng ENG,DF,Crystal Palace,eng Premier League,27.0,1996.0,8,1,259,1,0,1,0,5,60.0,5,175
550,Chiquinho,pt POR,MF,Wolves,eng Premier League,24.0,2000.0,1,0,7,0,0,0,0,0,29.907323340471095,1,3
551,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24.0,2000.0,8,1,146,0,0,0,0,4,50.0,2,76
552,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27.0,1997.0,30,28,2348,0,2,2,0,16,25.0,19,1740
553,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22.0,2001.0,26,23,1892,1,0,1,0,20,15.8,7,1012
554,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,eng Premier League,26.0,1997.0,4,1,131,0,0,0,0,4,29.907323340471095,2,100
555,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28.0,1996.0,5,2,254,0,0,0,0,1,0.0,1,246
556,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29.0,1995.0,29,27,2117,2,3,5,0,34,36.4,41,1376
557,Carney Chukwuemeka,eng ENG,MF,Dortmund,de Bundesliga,20.0,2003.0,10,1,253,1,0,1,0,15,25.0,7,169
558,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25.0,1999.0,26,9,925,3,2,5,0,48,25.0,27,556
559,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19.0,2005.0,1,0,1,0,0,0,0,0,29.907323340471095,0,0
560,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35.0,1989.0,27,27,2335,0,0,0,0,0,29.907323340471095,0,1079
561,Giuseppe Ciocci,it ITA,GK,Cagliari,it Serie A,22.0,2002.0,1,0,9,0,0,0,0,0,29.907323340471095,0,1
562,Alessandro Circati,au AUS,DF,Parma,it Serie A,20.0,2003.0,6,6,540,0,0,0,0,1,0.0,1,301
563,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,30.0,1994.0,33,25,2140,4,1,5,0,19,28.6,16,1449
564,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,it Serie A,17.0,2006.0,2,0,9,0,0,0,0,0,100.0,0,11
565,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20.0,2004.0,14,14,1121,1,0,1,0,16,46.7,6,755
566,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23.0,2001.0,34,31,2435,3,1,4,1,26,20.8,17,1409
567,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,19.0,2004.0,2,0,5,0,0,0,0,0,29.907323340471095,0,8
568,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29.0,1995.0,21,12,1111,1,1,2,0,19,18.2,13,542
569,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23.0,2001.0,7,4,379,0,0,0,1,5,100.0,1,268
570,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,23.0,2000.0,32,12,1181,0,4,4,0,39,11.8,28,553
571,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26.0,1998.0,28,25,2109,9,2,11,0,59,37.3,21,994
572,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,31.0,1992.0,28,27,2303,3,8,11,0,53,30.8,55,1675
573,Silvi Clúa,es ESP,MF,Girona,es La Liga,19.0,2005.0,4,2,163,0,0,0,0,4,50.0,1,116
574,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33.0,1991.0,13,5,483,0,0,0,0,6,0.0,3,273
575,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31.0,1993.0,22,19,1714,1,0,1,0,3,100.0,1,1210
576,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28.0,1996.0,20,10,951,0,1,1,2,12,0.0,10,608
577,Saúl Coco,gq EQG,DF,Torino,it Serie A,25.0,1999.0,32,32,2845,2,0,2,0,17,25.0,1,1879
578,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35.0,1988.0,5,3,215,0,0,0,0,1,100.0,0,121
579,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23.0,2001.0,38,38,3420,2,3,5,0,32,35.3,10,2435
580,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20.0,2004.0,24,15,1489,1,1,2,0,30,40.0,2,1107
581,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,20.0,2004.0,6,0,179,0,0,0,0,0,0.0,2,129
582,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22.0,2002.0,37,26,2233,6,2,8,1,27,32.7,21,837
583,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25.0,1999.0,24,17,1432,2,1,3,0,37,34.3,17,609
584,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21.0,2003.0,35,35,3149,2,1,3,0,14,23.5,14,2904
585,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26.0,1998.0,9,2,263,1,0,1,0,5,25.0,1,121
586,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28.0,1996.0,28,14,1282,5,4,9,0,66,38.6,32,934
587,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26.0,1998.0,25,21,1779,0,0,0,0,9,11.1,0,1114
588,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27.0,1996.0,35,30,2560,4,2,6,0,39,20.5,27,1734
589,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19.0,2005.0,32,23,2110,1,0,1,0,14,40.0,7,1533
590,Francisco Conceição,pt POR,"FW,MF",Juventus,it Serie A,21.0,2002.0,26,12,1340,3,3,6,1,95,32.5,28,739
591,Diego Conde,es ESP,GK,Villarreal,es La Liga,25.0,1998.0,22,22,1962,0,1,1,0,0,29.907323340471095,2,696
592,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26.0,1998.0,22,9,847,1,0,1,0,14,45.5,7,457
593,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,27.0,1996.0,1,0,3,0,0,0,0,0,29.907323340471095,0,2
594,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28.0,1996.0,29,4,892,1,1,2,0,29,38.5,14,301
595,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27.0,1997.0,36,32,2978,1,3,4,1,33,28.6,48,1900
596,Copete,es ESP,DF,Mallorca,es La Liga,24.0,1999.0,25,16,1528,0,0,0,0,10,33.3,0,987
597,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,20.0,2003.0,34,33,2927,2,0,2,0,4,40.0,3,1576
598,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,33.0,1991.0,6,3,224,1,1,2,0,3,14.3,5,128
599,Iker Córdoba,es ESP,DF,Valencia,es La Liga,18.0,2005.0,2,0,15,0,0,0,0,0,29.907323340471095,1,12
600,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,26.0,1997.0,21,17,1420,0,0,0,2,10,11.1,4,1493
601,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,27.0,1996.0,2,1,72,0,0,0,0,1,0.0,0,34
602,Maxwel Cornet,ci CIV,"FW,MF",Genoa,it Serie A,27.0,1996.0,7,2,246,2,1,3,0,8,60.0,5,97
603,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,27.0,1996.0,11,7,576,0,0,0,0,11,29.907323340471095,3,397
604,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29.0,1995.0,31,3,805,4,1,5,1,30,41.2,14,419
605,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,29.0,1994.0,19,6,731,2,2,4,0,22,42.9,10,438
606,Thierry Correia,pt POR,DF,Valencia,es La Liga,25.0,1999.0,11,9,768,0,0,0,0,16,42.9,5,555
607,Alberto costa,pt POR,DF,Juventus,it Serie A,20.0,2003.0,9,3,357,0,1,1,0,8,0.0,2,276
608,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22.0,2002.0,19,12,1006,1,1,2,0,46,34.8,9,504
609,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31.0,1993.0,25,25,2006,0,1,1,0,21,20.0,10,1451
610,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23.0,2001.0,11,3,352,0,0,0,1,14,22.2,6,200
611,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23.0,2001.0,32,28,2587,2,1,3,0,25,41.7,4,1785
612,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23.0,2001.0,1,1,90,0,0,0,0,1,29.907323340471095,1,69
613,Samu Costa,pt POR,MF,Mallorca,es La Liga,23.0,2000.0,32,31,2649,0,2,2,1,24,26.7,15,1834
614,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25.0,1999.0,2,2,180,0,0,0,0,0,29.907323340471095,0,74
615,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31.0,1992.0,22,11,1067,0,0,0,0,26,28.6,8,736
616,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28.0,1996.0,38,30,2667,1,0,1,0,21,33.3,12,1229
617,Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21.0,2002.0,3,0,45,1,0,1,0,0,66.7,1,21
618,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20.0,2004.0,1,0,8,0,0,0,0,0,0.0,0,9
619,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20.0,2003.0,7,5,438,0,0,0,0,1,0.0,1,370
620,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23.0,2001.0,25,17,1485,3,0,3,2,48,43.3,18,583
621,Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25.0,1999.0,4,1,109,0,0,0,0,4,50.0,0,76
622,Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25.0,1999.0,14,12,1084,0,1,1,1,36,0.0,8,706
623,Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17.0,2007.0,8,3,309,0,0,0,0,5,33.3,1,191
624,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32.0,1992.0,30,30,2700,0,0,0,0,0,29.907323340471095,1,1088
625,Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22.0,2002.0,21,8,895,0,0,0,0,46,33.3,12,849
626,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25.0,1999.0,27,23,2051,1,0,1,1,25,35.3,7,1044
627,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34.0,1989.0,18,10,824,0,0,0,0,6,0.0,9,687
628,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21.0,2002.0,31,29,2592,3,1,4,0,8,40.6,5,1920
629,Bryan Cristante,it ITA,MF,Roma,it Serie A,29.0,1995.0,30,23,2045,4,2,6,0,25,23.3,18,1497
630,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28.0,1995.0,8,1,136,0,0,0,0,4,0.0,0,76
631,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32.0,1992.0,25,19,1492,0,0,0,0,9,0.0,2,819
632,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24.0,2000.0,34,26,2257,5,4,9,0,59,42.4,24,951
633,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36.0,1988.0,23,7,832,0,2,2,0,41,25.0,19,722
634,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17.0,2007.0,35,29,2618,0,3,3,0,26,0.0,9,2805
635,Cucho,co COL,FW,Betis,es La Liga,25.0,1999.0,15,14,1139,5,1,6,0,27,25.6,14,467
636,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26.0,1998.0,36,33,2988,5,1,6,1,35,45.8,19,2244
637,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24.0,1999.0,8,4,351,0,0,0,0,0,0.0,0,214
638,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25.0,1999.0,33,29,2597,15,6,21,0,112,40.0,56,1561
639,Patrick Cutrone,it ITA,FW,Como,it Serie A,26.0,1998.0,33,23,2047,7,4,11,0,53,37.7,19,692
640,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23.0,2000.0,28,7,831,2,0,2,1,15,37.5,6,336
641,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29.0,1995.0,2,0,28,0,0,0,0,1,0.0,0,28
642,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35.0,1988.0,20,12,1095,0,1,1,1,10,44.4,5,776
643,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23.0,2001.0,36,30,2613,3,2,5,0,63,37.8,55,1929
644,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24.0,2000.0,2,0,43,0,0,0,0,1,29.907323340471095,0,37
645,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26.0,1998.0,19,19,1710,0,0,0,0,0,29.907323340471095,0,811
646,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30.0,1994.0,9,9,810,0,0,0,0,0,29.907323340471095,0,432
647,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28.0,1996.0,9,3,364,1,1,2,0,1,28.6,8,263
648,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25.0,1998.0,23,6,736,1,0,1,0,11,26.7,1,252
649,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22.0,2002.0,7,6,432,0,0,0,1,1,0.0,2,407
650,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23.0,2000.0,31,11,1154,3,2,5,0,9,35.5,12,439
651,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25.0,1999.0,33,31,2814,0,3,3,0,62,20.0,26,1983
652,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24.0,2000.0,38,34,2911,2,10,12,0,73,20.0,63,1883
653,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18.0,2006.0,1,0,7,0,0,0,0,0,29.907323340471095,0,13
654,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23.0,2001.0,18,9,1004,0,0,0,0,8,33.3,2,538
655,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23.0,2001.0,8,5,275,0,0,0,0,2,29.907323340471095,0,150
656,Danilo,br BRA,DF,Juventus,it Serie A,33.0,1991.0,12,6,581,0,1,1,0,16,0.0,3,625
657,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27.0,1997.0,3,3,200,2,0,2,0,4,50.0,1,48
658,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27.0,1997.0,25,15,1335,2,0,2,0,91,46.7,22,588
659,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18.0,2006.0,1,0,11,0,0,0,0,0,29.907323340471095,0,2
660,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20.0,2004.0,22,16,1460,0,0,0,0,19,17.6,25,912
661,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25.0,1998.0,10,9,842,0,0,0,0,11,42.9,2,676
662,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25.0,1998.0,12,12,1080,0,0,0,0,9,20.0,6,946
663,Dante,br BRA,DF,Nice,fr Ligue 1,40.0,1983.0,25,21,1964,0,0,0,1,18,22.2,4,1651
664,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,25.018973998594518,1998.6370344342938,9,1,78,1,0,1,0,2,40.0,1,78
665,Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22.0,2002.0,2,0,16,0,0,0,0,3,0.0,1,8
666,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18.0,2006.0,21,16,1304,1,1,2,0,5,9.1,11,595
667,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30.0,1993.0,38,34,2744,2,6,8,0,37,25.0,54,1558
668,Matteo Darmian,it ITA,DF,Inter,it Serie A,34.0,1989.0,29,20,1781,3,2,5,0,14,27.3,15,1144
669,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25.0,1998.0,14,3,412,1,1,2,0,8,50.0,6,213
670,Juan David Cabal,co COL,DF,Juventus,it Serie A,23.0,2001.0,7,6,460,0,0,0,0,14,0.0,1,401
671,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24.0,2000.0,32,28,2554,16,5,21,0,40,42.4,36,952
672,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23.0,2000.0,19,17,1560,1,2,3,0,81,17.6,27,1463
673,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31.0,1993.0,17,14,1331,0,0,0,0,14,20.0,2,1186
674,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26.0,1998.0,23,10,1066,2,1,3,0,26,37.9,20,404
675,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24.0,2000.0,33,32,2743,1,2,3,1,52,12.5,61,1562
676,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23.0,2001.0,33,32,2778,9,8,17,0,95,35.3,50,1298
677,Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29.0,1995.0,26,24,1845,0,0,0,1,10,0.0,0,982
678,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34.0,1990.0,15,10,971,0,0,0,0,6,20.0,2,671
679,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33.0,1991.0,28,19,1702,4,7,11,0,51,26.3,57,1368
680,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31.0,1993.0,23,9,744,1,2,3,0,14,42.9,6,272
681,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23.0,2001.0,36,25,2070,7,7,14,0,108,41.7,39,1238
682,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30.0,1994.0,34,23,2106,3,5,8,0,85,21.1,42,1950
683,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23.0,2001.0,2,2,180,0,0,0,0,0,29.907323340471095,0,68
684,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31.0,1992.0,16,7,769,1,0,1,0,4,60.0,3,394
685,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36.0,1988.0,18,13,1060,1,0,1,0,4,44.4,5,657
686,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26.0,1998.0,5,2,192,0,0,0,0,1,0.0,0,146
687,Koni De Winter,be BEL,DF,Genoa,it Serie A,22.0,2002.0,25,23,2135,3,0,3,0,10,53.8,3,1551
688,Amar Dedić,ba BIH,DF,Marseille,fr Ligue 1,21.0,2002.0,10,2,314,0,1,1,0,21,33.3,4,282
689,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28.0,1995.0,29,16,1432,2,1,3,0,11,27.8,6,686
690,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28.0,1996.0,26,14,1259,6,4,10,0,29,47.1,37,840
691,Enrico Del Prato,it ITA,DF,Parma,it Serie A,24.0,1999.0,34,32,2947,4,0,4,0,8,41.7,14,1830
692,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,32.0,1992.0,2,0,9,0,0,0,0,0,29.907323340471095,0,8
693,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21.0,2003.0,37,32,2593,12,2,14,0,61,43.9,21,682
694,Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23.0,2001.0,20,12,947,3,1,4,0,23,31.3,10,436
695,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32.0,1991.0,9,8,607,0,0,0,0,4,35.3,7,171
696,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24.0,2000.0,9,0,67,0,0,0,0,2,29.907323340471095,1,75
697,Ali Dembélé,fr FRA,DF,Torino,it Serie A,20.0,2004.0,15,4,388,1,0,1,1,8,40.0,3,222
698,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27.0,1997.0,29,20,1730,21,6,27,0,127,51.0,63,1323
699,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26.0,1998.0,34,20,1855,15,1,16,0,20,42.2,18,582
700,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22.0,2001.0,31,29,2586,0,0,0,0,12,30.0,6,1605
701,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28.0,1996.0,1,1,90,0,0,0,0,0,29.907323340471095,0,34
702,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30.0,1994.0,18,18,1620,0,0,0,0,0,29.907323340471095,1,561
703,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20.0,2003.0,23,4,507,1,1,2,0,5,60.0,7,279
704,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25.0,1998.0,13,2,264,0,1,1,0,5,0.0,3,184
705,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27.0,1997.0,33,33,2970,0,0,0,0,0,29.907323340471095,1,1046
706,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30.0,1993.0,37,37,3330,3,2,5,0,50,28.6,37,2541
707,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27.0,1996.0,35,27,2177,9,3,12,0,23,48.7,26,802
708,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27.0,1996.0,13,7,653,2,0,2,0,5,36.4,1,440
709,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18.0,2005.0,28,5,858,2,1,3,0,61,44.4,13,379
710,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23.0,2001.0,31,31,2766,4,1,5,1,15,43.8,3,2475
711,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20.0,2003.0,26,20,1628,4,1,5,0,24,34.6,11,580
712,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22.0,2002.0,26,20,1901,8,6,14,0,109,36.2,49,1207
713,Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18.0,2005.0,15,14,1252,8,1,9,0,50,46.4,8,523
714,Assane Diao,sn SEN,FW,Betis,es La Liga,18.0,2005.0,10,2,277,1,2,3,0,9,14.3,8,122
715,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20.0,2004.0,30,27,2352,4,5,9,0,61,40.0,27,1214
716,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,23.0,2000.0,26,20,1866,0,0,0,0,12,0.0,3,1012
717,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27.0,1997.0,27,25,2271,0,0,0,0,43,33.3,5,2499
718,Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25.0,1999.0,19,3,508,0,0,0,0,17,50.0,4,373
719,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24.0,2000.0,1,0,4,0,0,0,0,0,29.907323340471095,0,4
