Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,G+A,CrdR,PrgC,SoT%,KP,Touches
351,Mathéo Bodmer,fr FRA,MF,Le Havre,fr Ligue 1,20.0,2004.0,1,0,6,0,0,0,0,0,29.907323340471095,0,3
352,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,23.0,2000.0,13,6,593,0,2,2,0,18,33.3,3,580
353,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,27.0,1997.0,21,12,1054,1,2,3,0,64,53.3,24,529
354,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,eng Premier League,20.0,2004.0,8,5,476,0,0,0,0,12,100.0,2,325
355,Emil Bohinen,no NOR,MF,Genoa,it Serie A,25.0,1999.0,3,1,166,0,0,0,0,6,0.0,3,109
356,Adama Boiro,es ESP,"DF,FW",Athletic Club,es La Liga,22.0,2002.0,18,13,1101,0,0,0,0,25,0.0,5,627
357,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,33.0,1991.0,6,1,150,0,0,0,0,0,100.0,0,97
358,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,24.0,2000.0,27,25,2192,0,0,0,1,27,12.5,2,1673
359,Warren Bondo,fr FRA,MF,Monza,it Serie A,20.0,2003.0,20,19,1618,0,0,0,1,25,7.7,5,741
360,Warren Bondo,fr FRA,MF,Milan,it Serie A,20.0,2003.0,4,3,162,0,0,0,0,2,100.0,1,97
361,Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,23.0,2000.0,19,12,1008,8,1,9,0,26,34.0,10,400
362,Kevin Bonifazi,it ITA,DF,Lecce,it Serie A,28.0,1996.0,3,0,65,0,0,0,0,0,29.907323340471095,0,54
363,Ange-Yoan Bonny,fr FRA,FW,Parma,it Serie A,20.0,2003.0,37,30,2529,6,4,10,0,41,31.1,30,898
364,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,25.0,1999.0,15,8,788,2,1,3,0,3,37.5,1,428
365,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,24.0,2000.0,8,6,412,0,0,0,0,0,40.0,2,304
366,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,fr Ligue 1,18.0,2006.0,3,1,97,0,0,0,0,3,29.907323340471095,0,36
